entity_name,indicator_name,indicator_code,frequency,数据来源,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
CPI（月）,美国:核心CPI:同比(%),EMG01385211,monthly,OECD,2.639,2.504,2.457,2.595,2.75,2.851
CPI（月）,美国:CPI:季调:当月同比(%),EMG00000745,monthly,美国劳工部,2.654,2.391,2.434,3.286,3.779,4.167
宏观数据（月）,美国:非农就业人数:季调(人),EMG00001015,monthly,美国劳工部,1.584亿,1.586亿,1.584亿,1.587亿,1.588亿,1.59亿
宏观数据（月）,美国:ISM:PMI:制造业:季调,EMG00002790,monthly,美国供应管理协会,47.9,52.6,52.4,52.7,52.7,54.0
宏观数据（月）,美国:失业率:总计(%),EMG01375440,monthly,美国劳工部,4.1,4.6,4.7,4.3,4,4.1
宏观数据（月）,美国:失业率:季调(%),EMG00001039,monthly,美国劳工部,4.4,4.3,4.4,4.3,4.3,4.3
宏观数据（月）,美国:失业率:总计:季调(%),EMG02056659,monthly,美国劳工部,4.4,4.3,4.4,4.3,4.3,4.3
宏观数据（月）,美国:就业状况:总计:失业率(%),EMG00361633,monthly,美国劳工部,4.1,4.7,4.7,4.3,4,4.1
宏观数据（月）,美国:失业率:总计:非季调(人),EMG02056708,monthly,美国劳工部,4100,4700,4700,4300,4000,4100
宏观数据（月）,美国:就业状况:季调:总计:失业率(%),EMG00361682,monthly,美国劳工部,4.4,4.3,4.4,4.3,4.3,4.3
宏观数据（月）,美国:核心PCE物价指数:同比(%),EMG00157776,monthly,美国国家经济分析局,3,3.1,3,3.3,3.3,3.4
宏观数据（月）,名义美元指数:广义(2006年1月=100),EMG01341599,monthly,美联储,120.1883,119.2298,117.906,119.9199,119.0363,118.7792
